,displayName,description,abbreviation,value,perGameValue,rank
10,Kick Return Yards,The total yardage of kick returns.,YDS,662.0,38.0,23.0
11,Long Kick Return,The longest kick return in yards.,LNG,44.0,20.0,15.0
12,Long Punt Return,The longest punt return in yards.,LNG,17.0,10.0,29.0
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1.0
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1.0
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,7.0,,20.0
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,120.0,,2.0
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1.0
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1.0
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,22.0,1.0,7.0
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,61.111,,17.0
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1.0
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1.0
23,Punt Returns,The number of punt returns.,ATT,36.0,2.0,4.0
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1.0
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1.0
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,3.0
27,Punt Return Yards,The total yardage of punt returns.,YDS,261.0,15.0,11.0
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1.0
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1.0
30,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,20.061,16.68600082397461,24.0
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,7.25,6.763000011444092,25.0
33,Yards Per Return,The average number of yards per return.,YDS/R,13.377,,27.0
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,8.393,6.763000011444092,20.0
1,Fair Catches,The number of fair catches.,FC,15.0,,18.0
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,46.424,43.40700149536133,15.0
3,Long Punt,The distance of the longest punt.,LNG,61.0,50.0,30.0
4,Net Average Punt Yards,The average net number of yards per punt.,NET,42.864,39.68199920654297,12.0
5,Punt Returns,The number of times a punt was returned.,ATT,28.0,1.0,15.0
