,displayName,description,abbreviation,value,perGameValue,rank
28,Yards Per Game,The average number of yards per game.,YDS/G,331.0,,27
29,Yards Per Reception,The average number of yards per reception.,AVG,10.656,10.553000450134277,23
0,Assist Tackles,The number of assists on tackles.,AST,492.0,26.0,12
1,Average Interception Yards,The average number of return yards per interception.,AVG,20.158,20.844999313354492,5
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,6.444,6.573999881744385,22
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,16.333,,1
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,7.0,,1
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13
9,Long Interception,The amount of yards of the longest interception return.,LNG,69.0,,6
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,69.0,4.0,17
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,54.0,3.1760001182556152,3
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,348.0,20.47100067138672,4
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,805.0,41.0,10
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,18.0,3.0,32
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,294.0,,4
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,72.0,4.235000133514404,23
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1297.0,67.0,2
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,19.0,1.0,3
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,5.0,,1
2,Interception Yards,The number of yards gained after an interception.,YDS,383.0,22.0,1
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,23.778,21.562000274658203,3
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,61.541,38.98099899291992,3
2,Extra Point Attempts,The number of extra point attempts.,XPA,35.0,2.0,3
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,91.429,92.15699768066406,4
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,32.0,1.0,3
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,12.300999641418457,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,37.0,2.0,1
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,1.0,,1
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,9.0,,1
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,8.0,,3
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,14.0,,1
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,5.0,,3
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,5.0,,1
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1425.0,83.0,2
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,86.486,69.60800170898438,2
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,0.0,,1
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,0.0,,1
21,Field Goal Made,The number of times a field goal is made.,FGM,32.0,1.0,1
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,1.0,,1
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,9.0,,1
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,8.0,,3
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,10.0,,2
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,4.0,,2
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,4.0,,16
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1193.0,70.0,2
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,232.0,13.0,3
31,Kickoff Returns,The number of times a kickoff was returned.,KR,36.0,2.0,1
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,3.0,,4
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,856.0,50.0,3
34,Kickoffs,The number of kickoffs taken.,K,85.0,5.0,3
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5231.0,187.0,3
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,54.0,,4
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,54.0,33.0,4
38,Long Kickoff,The distance of the longest kickoff.,LK,68.0,60.0,4
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,128.0,7.0,2
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,36.471,32.68899917602539,4
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,31.0,1.0,4
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,11.0,,4
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,110.0,,3
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,36.0,2.0,7
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,856.0,50.0,9
11,Long Kick Return,The longest kick return in yards.,LNG,46.0,24.0,20
12,Long Punt Return,The longest punt return in yards.,LNG,84.0,18.0,1
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,9.0,,14
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,50.0,,12
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,10.0,,31
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,25.641,,32
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,39.0,2.0,2
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,1.0,,1
27,Punt Return Yards,The total yardage of punt returns.,YDS,418.0,24.0,1
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,23.778,21.562000274658203,12
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,10.718,9.555999755859375,6
33,Yards Per Return,The average number of yards per return.,YDS/R,16.987,,12
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,7.853,9.555999755859375,24
