,displayName,description,abbreviation,value,perGameValue,rank
1,Average Interception Yards,The average number of return yards per interception.,AVG,11.833,9.104000091552734,15
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.586,7.568999767303467,5
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,4.548,,30
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,1
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,8
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,5.0,,2
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,2.0,,3
9,Long Interception,The amount of yards of the longest interception return.,LNG,51.0,,15
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,7
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,56.0,3.0,27
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,2
14,Sacks,The total number of sacks.,SACK,29.0,1.7059999704360962,31
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,220.0,12.940999984741211,26
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,5
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,726.0,38.0,21
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,42.0,3.0,5
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,191.0,,24
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,71.0,4.176000118255615,16
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1263.0,67.0,4
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,12.0,,20
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,2.0,,4
2,Interception Yards,The number of yards gained after an interception.,YDS,142.0,8.0,18
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,18.529,15.559000015258789,1
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,63.247,21.854999542236328,2
2,Extra Point Attempts,The number of extra point attempts.,XPA,44.0,2.0,2
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,100.0,94.11799621582031,1
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,44.0,2.0,2
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,8.574000358581543,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,33.0,1.0,2
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,7.0,,2
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,10.0,,3
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,13.0,,2
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,3.0,,4
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,3.0,,2
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1230.0,73.0,4
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,90.909,71.56900024414062,1
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,3
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,3.03,2.940999984741211,3
21,Field Goal Made,The number of times a field goal is made.,FGM,30.0,1.0,1
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,1
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,7.0,,2
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,10.0,,3
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,10.0,,1
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,3.0,,2
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,1
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,3.0,,3
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1096.0,68.0,2
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,134.0,5.0,4
31,Kickoff Returns,The number of times a kickoff was returned.,KR,34.0,2.0,2
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,630.0,37.0,1
34,Kickoffs,The number of kickoffs taken.,K,97.0,5.0,2
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,6135.0,127.0,2
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,58.0,,2
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,58.0,32.0,1
38,Long Kickoff,The distance of the longest kickoff.,LK,73.0,52.0,2
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,134.0,7.0,1
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,62.887,62.88399887084961,2
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,61.0,3.0,2
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,4.0,,31
