,displayName,description,abbreviation,value,perGameValue,rank
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,3.0,,1
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,6.0,1.0,1
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1
28,Yards Per Game,The average number of yards per game.,YDS/G,343.471,,22
29,Yards Per Reception,The average number of yards per reception.,AVG,9.159,9.208999633789062,32
0,Assist Tackles,The number of assists on tackles.,AST,421.0,23.0,29
1,Average Interception Yards,The average number of return yards per interception.,AVG,22.364,21.690000534057617,2
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.389,7.660999774932861,1
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,4.51,,26
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,5.0,,2
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13
9,Long Interception,The amount of yards of the longest interception return.,LNG,56.0,,9
10,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0.0,,6
11,Passes Batted Down,The number of passes that were batted down.,BATD,0.0,,1
12,Passes Defended,The total number of passes defended.,PD,77.0,4.0,11
13,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0.0,,1
14,Sacks,The total number of sacks.,SACK,36.0,2.118000030517578,23
15,Sack Yards,The number of yards lost from sacks.,SCKYDS,266.0,15.647000312805176,19
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,809.0,42.0,26
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,51.0,5.0,4
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,230.0,,16
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,87.0,5.118000030517578,10
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1230.0,65.0,55
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
