,displayName,description,abbreviation,value,perGameValue,rank
7,Receiving First Downs,The number of times a first down is picked up by a reception.,FD,212.0,,8.0
8,Receiving Fumbles,The number of times a reception is made and then the ball is fumbled.,FUM,8.0,,17.0
9,Receiving Fumbles Lost,The number of times a reception is made and the balled is fumbled and recovered by the opposing team.,LST,5.0,,16.0
10,Receiving Targets,The number of times a receiver is thrown to.,TGTS,551.0,34.0,15.0
11,Receiving Touchdowns,The total number of receiving touchdowns.,TD,35.0,2.0,2.0
12,Receiving Yards,The total receiving yards.,YDS,4291.0,268.0,9.0
13,Receiving Yards After Catch,The number of yards gained after the catch has been made.,YAC,1597.0,99.0,27.0
14,Receiving Yards At Catch,The number of yards gained at the time the catch is made.,Y@C,2694.0,,3.0
15,Receiving Yards Per Game,The average number of receiving yards per game.,YDS/G,268.188,,7.0
16,Receptions,The total number of receptions.,REC,361.0,22.0,14.0
17,Team Games Played,The numbers of team games played.,GP,16.0,,31.0
18,Total Offensive Plays,The number of offenseive plays run.,OP,1037.0,63.0,59.0
19,Total Points,The number of total points earned.,PTS,455.0,27.0,4.0
20,Total Points Per Game,The average number of points scored per game.,TP/G,28.438,,2.0
21,Total Touchdowns,The number of total Touchdowns scored.,TD,53.0,3.0,5.0
22,Total Yards,The number of total yards gained.,TYDS,6523.0,397.0,4.0
23,Total Yards From Scrimmage,The number of yards gained from the line of scrimmage.,SCRIM,0.0,,1.0
24,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTC,-1.0,-1.0,1.0
25,Two Point Receptions,The number of receptions on 2-point attempts.,2PTR,1.0,1.0,14.0
26,Two Point Reception Attempts,The number of times a 2-point conversion is attempted with a reception.,CMP,1.0,1.0,22.0
27,Yards From Scrimmage Per Game,The average number of yards gained from scrimmage per game.,SCRIM/G,0.0,,1.0
28,Yards Per Game,The average number of yards per game.,YDS/G,407.688,,2.0
29,Yards Per Reception,The average number of yards per reception.,AVG,11.886,12.095000267028809,6.0
0,Assist Tackles,The number of assists on tackles.,AST,349.0,19.0,4.0
1,Average Interception Yards,The average number of return yards per interception.,AVG,9.706,7.796000003814697,25.0
2,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.2,7.546999931335449,4.0
3,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,4.679,,25.0
4,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0.0,,2.0
5,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0.0,,7.0
6,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1.0,,17.0
7,Hurries,The number of times that the quarterback is hurried.,HUR,0.0,,1.0
8,Kicks Blocked,The number of times a kick was blocked.,KB,1.0,,13.0
9,Long Interception,The amount of yards of the longest interception return.,LNG,43.0,,15.0
