,displayName,description,abbreviation,value,perGameValue,rank
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,24.267,20.05900001525879,9
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,6.813,3.744999885559082,25
33,Yards Per Return,The average number of yards per return.,YDS/R,18.196,,8
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,5.914,3.9790000915527344,30
1,Fair Catches,The number of fair catches.,FC,12.0,,28
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,48.47,45.90999984741211,8
3,Long Punt,The distance of the longest punt.,LNG,68.0,52.0,16
4,Net Average Punt Yards,The average net number of yards per punt.,NET,45.333,43.15800094604492,5
5,Punt Returns,The number of times a punt was returned.,ATT,35.0,2.0,7
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,207.0,12.0,22
7,Punts,The number of punts taken.,PUNTS,66.0,3.0,18
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,6.0,,19
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,9.091,,24
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,22.0,1.0,21
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,33.333,34.70600128173828,21
14,Punt Yards,The total amount of yardage of punts.,YDS,3199.0,188.0,14
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,4.545,2.802000045776367,24
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,3.0,,22
0,Defensive Points,The number of points scored on defense.,DP,0.0,2.0,11
1,Field Goals,The number of field goals made.,FG,34.0,2.0,2
2,Kick Extra Points,The number of extra points made.,PAT,41.0,2.0,7
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,30.0,1.0,4
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,30.0,1.0,4
6,Return Touchdowns,The total number of return touchdowns.,RET,2.0,,15
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,12.0,,22
8,Total Points,The number of total points scored.,PTS,407.0,23.0,9
9,Total Points Per Game,The number of points scored per game.,TP/G,23.941,,9
10,Total Touchdowns,The number of touchdowns scored in total.,TD,44.0,2.0,11
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,0.0,,26
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,346.0,20.0,13
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,206.0,12.0,10
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,34.0,2.0,3
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.353,20.0,13
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,106.0,6.0,18
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,21.0,1.0,17
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,57.143,33.33399963378906,5
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,12.0,,12
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,11.0,,7
9,Possession Time Seconds,The total time of possession in seconds.,POSS,29605.0,1741.0,28
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,62.6,,24
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,40.0,,2
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,85.45,45.0,11
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,45.45,,29
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,201.0,11.0,27
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,37.811,36.7130012512207,20
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,76.0,4.0,26
17,Total Giveaways,The total number of giveaways.,TGV,23.0,,8
18,Total Penalties,The total number of total penalties.,TPEN,106.0,6.0,6
19,Total Penalty Yards,The total number of penalty yards.,TPY,854.0,50.0,9
20,Total Takeaways,The total number of takeaways.,TT,25.0,,8
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,2.0,,12
