,displayName,description,abbreviation,value,perGameValue,rank
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,18.644,,5
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,26.0,1.0,14
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,44.068,44.0,7
14,Punt Yards,The total amount of yardage of punts.,YDS,2884.0,169.0,21
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,1.695,1.4709999561309814,31
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,1.0,,30
0,Defensive Points,The number of points scored on defense.,DP,0.0,4.0,11
1,Field Goals,The number of field goals made.,FG,34.0,2.0,2
2,Kick Extra Points,The number of extra points made.,PAT,35.0,2.0,14
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,28.0,1.0,9
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,28.0,1.0,9
6,Return Touchdowns,The total number of return touchdowns.,RET,3.0,,6
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,12.0,,22
8,Total Points,The number of total points scored.,PTS,395.0,22.0,12
9,Total Points Per Game,The number of points scored per game.,TP/G,23.235,,12
10,Total Touchdowns,The number of touchdowns scored in total.,TD,43.0,2.0,12
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,0.0,,26
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,0.0,,21
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,0.0,,21
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,14
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,343.0,20.0,16
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,193.0,11.0,13
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,28.0,1.0,14
3,First Downs Per Game,The average number of first downs per game.,FD/G,20.176,20.0,16
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,122.0,7.0,12
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,24.0,1.0,14
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,54.167,40.19599914550781,9
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,13.0,,9
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,4.0,,32
9,Possession Time Seconds,The total time of possession in seconds.,POSS,31372.0,1845.0,7
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,62.31,,26
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,36.17,,5
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,82.98,47.0,16
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,46.81,,26
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,208.0,12.0,24
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,39.904,39.54100036621094,16
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,83.0,4.0,17
17,Total Giveaways,The total number of giveaways.,TGV,21.0,,20
18,Total Penalties,The total number of total penalties.,TPEN,113.0,6.0,2
19,Total Penalty Yards,The total number of penalty yards.,TPY,932.0,54.0,3
20,Total Takeaways,The total number of takeaways.,TT,13.0,,32
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-8.0,,30
