id,fullName,active
3123052,Michael Badgley,True
4362748,Tyler Badie,True
3931395,Jake Bailey,True
3917992,Markus Bailey,True
3128773,Quinn Bailey,True
3924352,Zack Bailey,True
3127287,Budda Baker,True
3915507,Jerome Baker,True
4068152,Kawaan Baker,True
4036660,Darrell Baker Jr.,True
15963,David Bakhtiari,True
4262900,Daylen Baldwin,True
4035626,Josh Ball,True
4411769,Corey Ballentine,True
4034704,Michael Bandy,True
4242390,Aaron Banks,True
4040703,Eric Banks,True
3124970,Ben Banogu,True
15948,Matt Barkley,True
3929630,Saquon Barkley,True
4372030,Christian Barmore,True
4260409,Derrick Barnes,True
4373017,Kalon Barnes,True
4035817,Krys Barnes,True
4568439,Amare Barno,True
16711,Anthony Barr,True
2976114,Alex Barrett,True
3129290,Alex Bars,True
3926229,Cody Barton,True
3122865,Jackson Barton,True
4037239,Boogie Basham,True
3052977,Tarell Basham,True
3917232,Tyler Bass,True
4037216,Essang Bassey,True
4048228,John Bates,True
3929631,Ryan Bates,True
3919512,Jessie Bates III,True
4255988,B.J. Baylor,True
15035,Kelvin Beachum,True
15349,Cole Beasley,True
2979520,C.J. Beathard,True
3125107,Andrew Beck,True
2514206,Blake Bell,True
4608386,D'Anthony Bell,True
4570409,David Bell,True
4241921,Markquese Bell,True
3933407,Quinton Bell,True
3051388,Vonn Bell,True
4361516,Daniel Bellinger,True
14471,Nick Bellore,True
4426686,Dane Belton,True
4379778,Christian Benford,True
4242873,Eno Benjamin,True
3116187,Ja'Whaun Bentley,True
15826,Giovani Bernard,True
4259166,Terrel Bernard,True
3123075,Braxton Berrios,True
3915508,Rashod Berry,True
4245639,Stanley Berryhill,True
15089,Justin Bethel,True
4035788,Tyler Biadasz,True
3051775,Andrew Billings,True
16740,Joel Bitonio,True
3928920,Henry Black,True
4038557,Ross Blacklock,True
4035661,Julian Blackmon,True
4259308,Raheem Blackshear,True
2574582,Angelo Blackson,True
4243244,Marquise Blair,True
4248911,DaRon Bland,True
4243956,Reed Blankenship,True
3122103,Kendall Blanton,True
3122154,Khari Blasingame,True
4037633,Amani Bledsoe,True
4241199,Joshuah Bledsoe,True
3116188,David Blough,True
2582448,Austin Blythe,True
3060403,Chris Board,True
3925443,Jacob Bobenmoyer,True
3040166,Ike Boettger,True
4259978,Quinton Bohanna,True
4039396,Corey Bojorquez,True
15478,Brandon Bolden,True
4259631,Bubba Bolden,True
3056476,Victor Bolden,True
3116367,Curtis Bolton,True
4362759,Nick Bolton,True
4360259,Nik Bonitto,True
4046678,Ian Book,True
4360749,Thomas Booker IV,True
4034835,Dicaprio Bootle,True
3048663,Breon Borders,True
4241217,Larry Borom,True
3051389,Joey Bosa,True
4040605,Nick Bosa,True
17372,Chris Boswell,True
3045523,Kendrick Bourne,True
4259979,Lynn Bowden Jr.,True
3042726,Tashawn Bower,True
3929633,Nick Bowers,True
3040037,Tyus Bowser,True
3929845,Kris Boyd,True
3045144,Tyler Boyd,True
3932423,Miles Boykin,True
3045169,Tim Boyle,True
3054842,Bradley Bozeman,True
2572841,James Bradberry,True
3116729,Garrett Bradbury,True
3917569,Ja'Marcus Bradley,True
4036476,Will Bradley-King,True
3930270,Blake Brandel,True
17453,Cameron Brate,True
4046551,Ben Bredeson,True
4038944,Brady Breeze,True
3049916,Matt Breida,True
2577185,Jake Brendel,True
4040537,Aaron Brewer,True
3914440,Chandler Brewer,True
4585376,Shemar Bridges,True
16728,Teddy Bridgewater,True
4245645,Gary Brightwell,True
4570044,Jaquan Brisker,True
2578570,Jacoby Brissett,True
4242521,K.J. Britt,True
3923400,Josiah Bronson,True
4037474,Curtis Brooks,True
4241371,Kennedy Brooks,True
3139036,Cortez Broughton,True
4047646,A.J. Brown,True
3116761,Andrew Brown,True
4035312,Anthony Brown,True
4036032,Brittain Brown,True
4045165,Cam Brown,True
4040962,Deonte Brown,True
4035495,Derrick Brown,True
4361577,Dyami Brown,True
3128412,Evan Brown,True
4046350,Ike Brown,True
4680,Josh Brown,True
2570986,Malcolm Brown,True
4241372,Marquise Brown,True
4244310,Mike Brown,True
4242149,Montaric Brown,True
3121409,Noah Brown,True
2971281,Pharaoh Brown,True
4030899,Spencer Brown,True
4239768,Spencer Brown,True
3115308,Tony Brown,True
4241373,Tre Brown,True
3043109,Trent Brown,True
4372518,Bobby Brown III,True
4242292,Earnest Brown IV,True
3116370,Orlando Brown Jr.,True
4241987,Baron Browning,True
3886812,Jake Browning,True
2976117,Daniel Brunskill,True
3115249,Taven Bryan,True
3728253,Austin Bryant,True
2982857,Brandin Bryant,True
4239094,Coby Bryant,True
4040774,Harrison Bryant,True
4039010,Myles Bryant,True
2971282,DeForest Buckner,True
4039034,Shane Buechele,True
4241451,Isaiah Buggs,True
2980097,Jonathan Bullard,True
4362999,Spencer Burford,True
4035663,Terrell Burgess,True
15971,Rex Burkhead,True
3051746,Oren Burks,True
4567156,Treylon Burks,True
3051921,Artie Burns,True
4035631,Brian Burns,True
2577740,Juston Burris,True
3915511,Joe Burrow,True
2515270,Michael Burton,True
2969944,Deon Bush,True
4036261,Devin Bush,True
4242369,Matt Bushman,True
3055899,Harrison Butker,True
2972342,Adam Butler,True
4360466,Darien Butler,True
4242457,Matthew Butler,True
4363097,Percy Butler,True
2971883,Vernon Butler,True
2574056,Kevin Byard,True
4035861,Camryn Bynum,True
2577667,Damiere Byrd,True
3116158,Jason Cabinda,True
3917849,Lawrence Cager,True
3116455,Yodny Cajuste,True
4241374,Grant Calcaterra,True
4043039,Mike Caliendo,True
2515641,Bryce Callahan,True
3915097,Antonio Callaway,True
4035170,Marquez Callaway,True
4379396,Jake Camarda,True
4037311,Jalen Camp,True
11284,Calais Campbell,True
3040180,De'Vondre Campbell,True
3932901,Elijah Campbell,True
3121410,Parris Campbell,True
4410136,Tevaughn Campbell,True
4379397,Tyson Campbell,True
2516325,A.J. Cann,True
3059021,Alex Cappa,True
3051909,Daniel Carlson,True
4360320,Jackson Carman,True
4240563,Owen Carney,True
4240486,Tariq Carpenter,True
16808,T.J. Carrie,True
2580216,DeAndre Carter,True
4369950,Ja'Tyre Carter,True
3053047,Jermaine Carter,True
3128715,Lorenzo Carter,True
4240657,Michael Carter,True
4040963,Shyheim Carter,True
4035044,T.J. Carter,True
4360292,TJ Carter,True
4240619,Zach Carter,True
4240456,Michael Carter II,True
4241273,Roger Carter Jr.,True
3728281,Blake Cashman,True
3125287,Andre Chachere,True
4242205,K'Lavon Chaisson,True
3138733,Sean Chandler,True
4242431,Ty Chandler,True
3115394,DJ Chark,True
