,displayName,description,abbreviation,value,perGameValue,rank
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,47.0,4.0,5.0
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,104.0,,32.0
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,67.0,3.940999984741211,29.0
21,Team Games Played,The numbers of team games played.,GP,17.0,,1.0
22,Total Tackles,The total number of tackles.,TOT,1223.0,64.0,9.0
23,Yards Allowed,Yards allowed,YA,0.0,,1.0
24,Points Allowed,Points allowed,PA,0.0,,1.0
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1.0
0,Interceptions,The total number of interceptions.,INT,14.0,,12.0
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,0.0,,25.0
2,Interception Yards,The number of yards gained after an interception.,YDS,201.0,11.0,9.0
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,26.211,27.027999877929688,16.0
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,63.066,26.849000930786133,6.0
2,Extra Point Attempts,The number of extra point attempts.,XPA,32.0,1.0,11.0
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,84.375,83.8239974975586,16.0
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1.0
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1.0
6,Extra Points Made,The number of extra point attempts made.,XPM,27.0,1.0,13.0
7,Fair Catches,The number of fair catches.,FC,0.0,,1.0
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,13.16100025177002,1.0
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,27.0,1.0,15.0
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2.0
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,6.0,,11.0
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,8.0,,7.0
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,8.0,,9.0
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,5.0,,11.0
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,6.0
