teamName ,displayName,description,abbreviation,value,perGameValue,rank
Ravens,Yards Per Game,The average number of yards per game.,YDS/G,396.824,,5
Ravens,Yards Per Reception,The average number of yards per reception.,AVG,10.775,10.97799969,21
Ravens,Assist Tackles,The number of assists on tackles.,AST,406,20,14
Ravens,Average Interception Yards,The average number of return yards per interception.,AVG,4.222,3.687999964,32
Ravens,Average Sack Yards,The average number of yards lost per sack.,YDS/SACK,7.176,7.166999817,15
Ravens,Average Stuff Yards,The average number of yards lost per stuff.,YDS/STF,5,,28
Ravens,Block Field Goal Touchdown,The number of blocked field goals that were returned for a touchdown.,BFGTD,0,,1
Ravens,Blocked Punt Touchdowns,The number of blocked punts that were returned for touchdowns.,BPTD,0,,8
Ravens,Defensive Touchdown,The number of touchdowns recorded on defense.,TD,1,,18
Ravens,Hurries,The number of times that the quarterback is hurried.,HUR,0,,1
Ravens,Kicks Blocked,The number of times a kick was blocked.,KB,1,,9
Ravens,Long Interception,The amount of yards of the longest interception return.,LNG,21,,32
Ravens,Miscellaneous Touchdowns,The number of miscellaneous touchdowns.,MISCTD,0,,7
Ravens,Passes Batted Down,The number of passes that were batted down.,BATD,0,,1
Ravens,Passes Defended,The total number of passes defended.,PD,72,4,17
Ravens,Two Point Returns,The number of two point attempts that is returned by the defense.,2PTR,0,,2
Ravens,Sacks,The total number of sacks.,SACK,34,2,22
Ravens,Sack Yards,The number of yards lost from sacks.,SCKYDS,244,14.35299969,20
Ravens,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0,,5
Ravens,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,748,39,11
Ravens,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,42,4,5
Ravens,Stuff Yards,The number of yards lost from stuffs.,STFYDS,210,,20
Ravens,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,76,4.471000195,11
Ravens,Team Games Played,The numbers of team games played.,GP,17,,1
Ravens,Total Tackles,The total number of tackles.,TOT,1154,59,25
Ravens,Yards Allowed,Yards allowed,YA,0,,1
Ravens,Points Allowed,Points allowed,PA,0,,1
Ravens,One Point Safeties Made,One Point Safeties Made,OPSM,0,,1
Ravens,Interceptions,The total number of interceptions.,INT,9,,26
