,displayName,description,abbreviation,value,perGameValue,rank
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,50.0,,24
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,236.0,13.0,4
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,44.915,43.60100173950195,7
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,106.0,6.0,2
17,Total Giveaways,The total number of giveaways.,TGV,19.0,,26
18,Total Penalties,The total number of total penalties.,TPEN,94.0,5.0,14
19,Total Penalty Yards,The total number of penalty yards.,TPY,711.0,41.0,22
20,Total Takeaways,The total number of takeaways.,TT,23.0,,14
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,4.0,,9
