,displayName,description,abbreviation,value,perGameValue,rank
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,779.0,41.0,34
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,32.0,3.0,23
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,230.0,,16
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,73.0,4.294000148773193,22
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1215.0,65.0,1
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,6.0,,31
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,1.0,,11
2,Interception Yards,The number of yards gained after an interception.,YDS,97.0,5.0,27
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,21.346,17.569000244140625,1
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,60.871,22.445999145507812,4
2,Extra Point Attempts,The number of extra point attempts.,XPA,34.0,2.0,3
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,94.118,94.11799621582031,3
4,Extra Point Blocked,The number of extra points blocked.,XPB,1.0,,3
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,2.941,2.940999984741211,3
6,Extra Points Made,The number of extra point attempts made.,XPM,32.0,1.0,3
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,15.01200008392334,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,1
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,2
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,2.0,,4
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,10.0,,1
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,11.0,,1
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,9.0,,2
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,9.0,,10
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1376.0,83.0,1
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,90.625,76.96099853515625,1
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,1.0,,3
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,3.125,1.4709999561309814,3
21,Field Goal Made,The number of times a field goal is made.,FGM,29.0,1.0,1
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,2.0,,4
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,9.0,,1
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,10.0,,1
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,8.0,,1
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,8.0,,3
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1234.0,75.0,1
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,142.0,8.0,3
31,Kickoff Returns,The number of times a kickoff was returned.,KR,26.0,1.0,3
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,555.0,32.0,2
34,Kickoffs,The number of kickoffs taken.,K,85.0,5.0,3
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,5174.0,113.0,3
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,58.0,,2
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,57.0,37.0,3
38,Long Kickoff,The distance of the longest kickoff.,LK,70.0,50.0,3
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,119.0,7.0,2
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,58.824,57.96900177001953,4
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,50.0,2.0,4
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,13.0,,2
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,10.0,,22
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,26.0,1.0,27
