,displayName,description,abbreviation,value,perGameValue,rank
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,10.0,,5
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,14.085,,13
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,28.0,1.0,5
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,39.437,33.941001892089844,11
14,Punt Yards,The total amount of yardage of punts.,YDS,3337.0,196.0,7
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,2.817,3.430999994277954,29
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,2.0,,26
0,Defensive Points,The number of points scored on defense.,DP,0.0,4.0,8
1,Field Goals,The number of field goals made.,FG,21.0,1.0,28
2,Kick Extra Points,The number of extra points made.,PAT,18.0,1.0,31
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,12.0,,32
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,12.0,,32
6,Return Touchdowns,The total number of return touchdowns.,RET,2.0,,11
7,Rushing Touchdowns,The total number of rushing touchdowns.,RUSH,13.0,,21
8,Total Points,The number of total points scored.,PTS,253.0,14.0,32
9,Total Points Per Game,The number of points scored per game.,TP/G,14.882,,32
10,Total Touchdowns,The number of touchdowns scored in total.,TD,27.0,1.0,31
11,Total Two Point Conversions,The number of times a 2-point conversion is successful.,2PT,2.0,,12
12,Two Point Pass Conversions,The number of times a 2-point conversion is successful with a pass.,2PTPC,2.0,,6
13,Two Point Receiving Conversion,The number of times a 2-point is converted with a reception.,2PTRCC,2.0,,6
14,Two Point Rush Conversion,The number of times a 2-point is converted with a run.,2PTRUC,0.0,,18
15,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Total 1st downs,The the number of first downs.,CMP,304.0,17.0,29
1,Passing 1st downs,The number of times a pass results in a first down.,FDP,178.0,10.0,24
2,1st downs by penalty,The number of times a penalty results in a first down.,FDPEN,34.0,2.0,6
3,First Downs Per Game,The average number of first downs per game.,FD/G,17.882,17.0,29
4,Rushing 1st downs,The number of times a rush results in a first down.,FDR,92.0,5.0,26
5,First Downs Attempts,The number of attempts at getting a first down.,FDA,31.0,1.0,6
6,4th down %,The percentage of fourth down attempts that are converted.,4THC%,58.065,59.31399917602539,12
7,Fourth Down Conversions,The number of times a fourth down is converted.,4THC,18.0,1.0,3
8,Fumbles Lost,The number of times the ball has been fumbled and lost to the opposing team .,LST,12.0,,1
9,Possession Time Seconds,The total time of possession in seconds.,POSS,27908.0,1641.0,31
10,Red Zone Efficiency Percentage,The percentage of red zone attempts that are converted.,CMP,60.81,,29
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,28.21,,12
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,76.92,49.0,32
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,48.72,,28
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,212.0,12.0,20
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,35.849,35.332000732421875,28
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,76.0,4.0,29
17,Total Giveaways,The total number of giveaways.,TGV,29.0,,2
18,Total Penalties,The total number of total penalties.,TPEN,104.0,6.0,16
19,Total Penalty Yards,The total number of penalty yards.,TPY,856.0,50.0,16
20,Total Takeaways,The total number of takeaways.,TT,9.0,,32
21,Total Drives,The total number of drives.,D,0.0,,1
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,-20.0,,32
