,displayName,description,abbreviation,value,perGameValue,rank
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,2
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,6.0,,4
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,4.0,,4
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,10.0,,1
26,Field Goals Made 50-59,The number of field goals made from 50-59 yards.,FGM 50-59,8.0,,2
27,Field Goals Made 60-99,The number of field goals made from 60-99 yards.,FGM 60-99,0.0,,2
28,Field Goals Made 50+,The number of field goals made from 50+ yards.,50+,8.0,,5
29,Field Goals Made Yards,The total amount of yardage of field goals made.,FGMYDS,1159.0,68.0,2
30,Field Goals Missed Yards,The total amount of yardage of missed field goals.,FGMSYD,389.0,22.0,1
31,Kickoff Returns,The number of times a kickoff was returned.,KR,24.0,1.0,4
32,Kickoff Return Touchdowns,The number of times a kickoff was returned for a touchdown.,KRTD,0.0,,1
33,Kickoff Return Yards,The total amount of yardage of kick returns.,KRYDS,420.0,24.0,1
34,Kickoffs,The number of kickoffs taken.,K,73.0,4.0,4
35,Kickoff Yards,The total amount of yardage of kickoffs.,KYDS,4581.0,75.0,4
36,Long Field Goal Attempt,The distance of the longest field goal attempt.,LFGA,64.0,,1
37,Long Field Goal Made,The distance of the longest field goal made.,LNG,55.0,39.0,3
38,Long Kickoff,The distance of the longest kickoff.,LK,67.0,38.0,4
39,Team Games Played,The numbers of team games played.,GP,17.0,,1
40,Total Kicking Points,The number of total points earned kicking.,PTS,109.0,6.0,4
41,Touchback Percentage,The percentage of kickoffs that are touchbacks.,TB%,69.863,67.84400177001953,2
42,Touchbacks,The number of kickoffs that result in touchbacks.,TB,51.0,3.0,4
0,Defensive Fumbles Returns,The number of fumble returns.,DFR,0.0,,1
1,Defensive Fumble Return Yards,The amount of total yardage from fumble returns.,DFRYDS,0.0,,1
2,Fumble Recoveries,The number of fumble recoveries.,FR,8.0,,22
3,Fumble Recovery Yards,The amount of total yardage from fumble recoveries.,YDS,24.0,,16
4,Kick Return Fair Catches,The number of kick return fair catches.,KRFC,0.0,,1
5,Kick Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,KRFC%,0.0,,1
6,Kick Return Fumbles,The number of kick return fumbles.,KRF,0.0,,1
7,Kick Return Fumbles Lost,The number of kick return fumbles that are lost.,KRFL,0.0,,1
8,Kick Returns,The number of kick returns.,ATT,24.0,1.0,29
9,Kick Return Touchdowns,The number of kick return touchdowns.,TD,0.0,,6
10,Kick Return Yards,The total yardage of kick returns.,YDS,420.0,24.0,32
11,Long Kick Return,The longest kick return in yards.,LNG,29.0,16.0,32
12,Long Punt Return,The longest punt return in yards.,LNG,30.0,9.0,11
13,Miscellaneous Fumbles Returns,The number of fumble returns.,MFR,0.0,,1
14,Miscellaneous Fumble Return Yards,The amount of total yardage from fumble returns.,MFRYDS,0.0,,1
15,Opposition Fumble Recoveries,The number of fumble recoveries by the opposition.,OPFR,9.0,,14
16,Opposition Fumble Recovery Yards,The amount of total yardage from fumble recoveries by the opposition.,OFRYDS,76.0,,5
17,Opposition Special Team Fumble Returns,The number of fumble returns by the opposition's speical teams.,OPSTFR,0.0,,1
18,Opposition Special Team Fumble Return Yards,The amount of total yardage from fumble return by the opposition's special teams.,OFRYDS,0.0,,1
19,Punt Return Fair Catches,The number of punt return fair catches.,FC,16.0,,21
20,Punt Return Fair Catch Percentage,The percentage of kick returns that are fair caught.,PRFC%,43.243,,29
21,Punt Return Fumbles,The number of punt return fumbles.,PRF,0.0,,1
22,Punt Return Fumbles Lost,The number of punt return fumbles that are lost.,PRFL,0.0,,1
23,Punt Returns,The number of punt returns.,ATT,37.0,2.0,4
24,Punt Returns Started Inside the 10,The number of punt returns started inside the 10.,PR 10,0.0,,1
25,Punt Returns Started Inside the 20,The number of punt returns started inside the 20.,PR 20,0.0,,1
26,Punt Return Touchdowns,The number of punt return touchdowns.,TD,0.0,,4
27,Punt Return Yards,The total yardage of punt returns.,YDS,308.0,18.0,10
28,Special Team Fumbles Returns,The number of special team fumble returns.,STFR,0.0,,1
29,Special Team Fumble Return Yards,The amount of total yardage from special team fumble returns.,STFRYD,0.0,,1
30,Team Games Played,The numbers of team games played.,GP,17.0,,1
31,Yards Per Kick Return,The average number of yards per kick return.,AVG,17.5,15.579000473022461,32
32,Yards Per Punt Return,The average number of yards per punt return.,AVG,8.324,7.224999904632568,20
33,Yards Per Return,The average number of yards per return.,YDS/R,11.934,,32
0,Average Punt Return Yards,The average number of yards per punt return.,AVG,8.227,7.677000045776367,20
1,Fair Catches,The number of fair catches.,FC,29.0,1.0,3
2,Gross Average Punt Yards,The average gross number of yards per punt.,AVG,46.563,46.17100143432617,19
3,Long Punt,The distance of the longest punt.,LNG,59.0,53.0,31
4,Net Average Punt Yards,The average net number of yards per punt.,NET,42.792,42.53099822998047,16
5,Punt Returns,The number of times a punt was returned.,ATT,44.0,2.0,3
6,Punt Return Yards,The total amount of yardage of punt returns.,YDS,362.0,21.0,6
7,Punts,The number of punts taken.,PUNTS,96.0,5.0,1
8,Punts Blocked,The number of times a punt was blocked.,PBLK,0.0,,11
9,Punts Blocked Percentage,The percentage of punts that are blocked.,PBLK%,0.0,,11
10,Punts Inside 10,The number of times a punt is downed inside the 10.,P 10,6.0,,19
11,Punts Inside 10 Percentage,The percentage of punts that end up inside the 10.,P 10%,6.25,,31
12,Punts Inside 20,The number of times a punt is downed inside the 20.,IN20,30.0,1.0,7
13,Punts Inside 20 Percentage,The percentage of punts that end up inside the 10.,IN20%,31.25,34.82400131225586,24
14,Punt Yards,The total amount of yardage of punts.,YDS,4470.0,262.0,2
15,Team Games Played,The numbers of team games played.,GP,17.0,,1
16,Touchback Percentage,The percentage of punts that are touchbacks.,TB%,6.25,6.199999809265137,17
17,Touchbacks,The number of kickoffs that result in touchbacks.,TB,6.0,,9
0,Defensive Points,The number of points scored on defense.,DP,2.0,,3
1,Field Goals,The number of field goals made.,FG,28.0,1.0,16
2,Kick Extra Points,The number of extra points made.,PAT,25.0,1.0,27
3,Miscellaneous Points,The number of miscellaneous points scored.,MISP,0.0,,1
4,Passing Touchdowns,The total number of passing touchdowns.,PASS,18.0,1.0,23
5,Receiving Touchdowns,The total number of receiving touchdowns.,REC,18.0,1.0,23
6,Return Touchdowns,The total number of return touchdowns.,RET,0.0,,31
