,displayName,description,abbreviation,value,perGameValue,rank
16,Safeties,The number of times the offense is tackled in their own endzone.,SAFE,0.0,,10
17,Solo Tackles,The number of times a tackle was made unassisted.,SOLO,759.0,40.0,1
18,Stuffs,The number of times that a runner is stuffed at or behind the line of scrimmage.,STF,33.0,4.0,22
19,Stuff Yards,The number of yards lost from stuffs.,STFYDS,263.0,,6
20,Tackles For Loss,The number of tackles that result in a loss of yardage.,TFL,77.0,4.5289998054504395,14
21,Team Games Played,The numbers of team games played.,GP,17.0,,1
22,Total Tackles,The total number of tackles.,TOT,1198.0,62.0,3
23,Yards Allowed,Yards allowed,YA,0.0,,1
24,Points Allowed,Points allowed,PA,0.0,,1
25,One Point Safeties Made,One Point Safeties Made,OPSM,0.0,,1
0,Interceptions,The total number of interceptions.,INT,20.0,1.0,1
1,Interception Touchdowns,The number of times an interception is returned for a touchdown.,TD,2.0,,3
2,Interception Yards,The number of yards gained after an interception.,YDS,305.0,17.0,3
0,Average Kickoff Return Yards,The average number of yards per kickoff return.,YDS/KR,23.038,19.215999603271484,3
1,Average Kickoff Yards,The average number of yards per kickoff.,YDS/K,62.485,31.43400001525879,4
2,Extra Point Attempts,The number of extra point attempts.,XPA,53.0,3.0,1
3,Extra Point Percentage,The percentage of extra point attempts that are converted.,XP%,96.226,95.88200378417969,3
4,Extra Point Blocked,The number of extra points blocked.,XPB,0.0,,1
5,Extra Points Blocked Percentage,The percentage of extra points attempts that are blocked.,XPB%,0.0,,1
6,Extra Points Made,The number of extra point attempts made.,XPM,51.0,3.0,1
7,Fair Catches,The number of fair catches.,FC,0.0,,1
8,Fair Catch Percentage,The percentage of kicks that are fair catches.,FC%,0.0,10.86400032043457,1
9,Field Goal Attempts,The number of times a field goal is attempted.,FGA,32.0,1.0,2
10,Field Goal Attempts 1-19,The number of field goals attempted from 1-19 yards.,FGA 1-19,0.0,,1
11,Field Goal Attempts 20-29,The number of field goals attempted from 20-29 yards.,FGA 20-29,14.0,,1
12,Field Goal Attempts 30-39,The number of field goals attempted from 30-39 yards.,FGA 30-39,5.0,,4
13,Field Goal Attempts 40-49,The number of field goals attempted from 40-49 yards.,FGA 40-49,11.0,,1
14,Field Goal Attempts 50-59,The number of field goals attempted from 50-59 yards.,FGA 50-59,2.0,,4
15,Field Goal Attempts 60-99,The number of field goals attempted from 60-99 yards.,FGA 60-99,0.0,,2
16,Field Goal Attempts 50+,The number of field goals attempted from 50+ yards.,FGA 50+,2.0,,2
17,Field Goal Attempt Yards,The number of yards for field goal attempts.,FGAYDS,1100.0,61.0,4
18,Field Goal Percentage,The percentage of field goals attempted that are made.,FG%,84.375,73.03900146484375,4
19,Field Goals Blocked,The number of field goals that are blocked.,FGB,2.0,,4
20,Field Goals Blocked Percentage,The percentage of field goals attempted that are blocked.,CMP,6.25,4.9019999504089355,4
21,Field Goal Made,The number of times a field goal is made.,FGM,27.0,1.0,4
22,Field Goals Made 1-19,The number of field goals made from 1-19 yards.,FGM 1-19,0.0,,1
23,Field Goals Made 20-29,The number of field goals made from 20-29 yards.,FGM 20-29,13.0,,1
24,Field Goals Made 30-39,The number of field goals made from 30-39 yards.,FGM 30-39,5.0,,4
25,Field Goals Made 40-49,The number of field goals made from 40-49 yards.,FGM 40-49,7.0,,1
