,displayName,description,abbreviation,value,perGameValue,rank
11,Red Zone Field Goal Percentage,The percentage of red zone trips that end in a field goal.,RZFG%,23.44,,25.0
12,Red Zone Scoring Percentage,The percentage of red zone trips that result in a score.,RZ%,79.69,58.0,24.0
13,Red Zone Touchdown Percentage,The percentage of red zone trips that result in a touchdown.,RZTD%,56.25,,20.0
14,Third Down Attempts,The number of 3rd down attempts.,3RDA,210.0,12.0,24.0
15,3rd down %,The percentage of 3rd downs that are converted.,3RDC%,40.952,40.71099853515625,12.0
16,Third Down Conversions,The number of 3rd down conversions.,3RDC,86.0,5.0,16.0
17,Total Giveaways,The total number of giveaways.,TGV,19.0,,
18,Total Penalties,The total number of total penalties.,TPEN,76.0,4.0,29.0
19,Total Penalty Yards,The total number of penalty yards.,TPY,688.0,40.0,28.0
20,Total Takeaways,The total number of takeaways.,TT,33.0,,
21,Total Drives,The total number of drives.,D,0.0,,
22,Turnover Ratio,Difference between take-aways and give-aways,DIFF,14.0,,
